implementing_agency,change_period,shift_t,mix_js,change_score,n_periods,works_before,works_after,rs_before,rs_after,change_description
Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA),2024Q4,3.981228633969614,0.2509513118433796,0.5150884267506396,9,146,124,133603075.0,138680742.0,Chhatrapati Sambhajinagar(DISTRICT COLLECTOR AURANGABAD_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.25); 49 works/quarter -> 21 works/quarter; 0% round-number amounts -> 88% round-number amounts; 26% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GIRIDIH(Deputy Commissioner Giridh_IDA),2024Q4,3.0786585128299135,0.3323944879281314,0.5143866545906088,10,315,442,83939895.0,154331276.0,GIRIDIH(Deputy Commissioner Giridh_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.33); 57% round-number amounts -> 90% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),2024Q3,3.3540464764152884,0.2840460265498067,0.5137275694616749,7,111,68,78971259.0,75829229.0,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.28); 56 works/quarter -> 14 works/quarter; 6% round-number amounts -> 41% round-number amounts; 0% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA),2024Q4,3.6392059907294394,0.2592898808583648,0.5127519291200439,8,207,168,68207332.0,94910099.0,KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.26); 104 works/quarter -> 28 works/quarter; 56% round-number amounts -> 71% round-number amounts; 7% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA),2025Q3,2.7188357960623217,0.4445259353388492,0.5113020313077073,7,646,504,167300069.6,147972125.0,PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.44); 0% round-number amounts -> 18% round-number amounts; 28% repeated descriptions -> 20% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA),2024Q3,3.8775092263576534,0.25081370990212304,0.5087914915638381,8,146,112,102132336.0,117571448.0,VIRUDHUNAGAR(DISTRICT COLLECTOR VIRUDHUNAGAR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.25); 73 works/quarter -> 19 works/quarter; 52% round-number amounts -> 73% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA),2025Q1,3.185923000779932,0.2977714489150821,0.5052735291757469,10,220,96,173560864.0,141775850.0,NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.30); 37 works/quarter -> 24 works/quarter; 65% round-number amounts -> 88% round-number amounts; 4% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA),2025Q2,3.1733911005742073,0.2979138297906182,0.5021081196072318,9,278,89,183429562.0,73766105.0,PUDUKKOTTAI(DISTRICT COLLECTOR PUDUKKOTTAI_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.30); 56 works/quarter -> 22 works/quarter; 17% round-number amounts -> 66% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
WARDHA(DISTRICT COLLECTOR WARDHA_IDA),2025Q1,2.6177700813171025,0.5056710609913739,0.4968310771884183,7,194,90,59423416.0,53228655.0,WARDHA(DISTRICT COLLECTOR WARDHA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.51); 97 works/quarter -> 18 works/quarter; 56% round-number amounts -> 65% round-number amounts; 2% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA),2025Q2,3.049789913284191,0.31847968505208535,0.4942470373493112,9,140,110,103319736.2,63547806.0,DUNGARPUR(DISTRICT COLLECTOR DUNGARPUR_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.32); 56% round-number amounts -> 92% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
DHULE(DISTRICT COLLECTOR DHULE_IDA),2025Q3,2.784034365767637,0.39684545423620166,0.4932227632585793,9,126,127,117575982.0,55759530.0,DHULE(DISTRICT COLLECTOR DHULE_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.40); 21 works/quarter -> 42 works/quarter; 39% round-number amounts -> 59% round-number amounts; 0% repeated descriptions -> 48% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA),2025Q1,3.38128947514956,0.27015369330870176,0.49291456057882105,10,263,201,130143702.0,89993835.0,VILLUPURAM(DISTRICT COLLECTOR VILLUPURAM_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.27); 53 works/quarter -> 40 works/quarter; 17% round-number amounts -> 83% round-number amounts; 4% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ALMORA(DISTRICT MAGISTRATE ALMORA_IDA),2025Q1,2.9193138000064733,0.3530588566554106,0.4909699570487891,6,413,40,51480435.0,10679120.0,ALMORA(DISTRICT MAGISTRATE ALMORA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.35); 138 works/quarter -> 13 works/quarter; 31% round-number amounts -> 85% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),2025Q1,3.0618815552382537,0.3110518108743303,0.49085323886533727,7,118,149,55170000.0,87203705.0,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.31); 59 works/quarter -> 30 works/quarter; 94% round-number amounts -> 50% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
BALLIA(DISTRICT MAGISTRAE BALLIA_IDA),2024Q1,2.5460552164088175,0.6867186596161907,0.4897506589154968,8,84,486,103116112.0,250225654.0,BALLIA(DISTRICT MAGISTRAE BALLIA_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.69); 42 works/quarter -> 81 works/quarter; 33% round-number amounts -> 28% round-number amounts; 25% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
JHANSI(DISTRICT MAGISTRAE JHANSI_IDA),2025Q3,3.0298060677168057,0.3168205222969077,0.4888851495118923,7,168,50,106438812.0,28650000.0,JHANSI(DISTRICT MAGISTRAE JHANSI_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.32); 34 works/quarter -> 25 works/quarter; 2% round-number amounts -> 96% round-number amounts; 19% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ANAND(District Collector ANAND_IDA),2025Q3,3.120991805240252,0.29720138713542466,0.48701142281945775,9,655,192,133765996.0,39493339.0,ANAND(District Collector ANAND_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.30); 109 works/quarter -> 64 works/quarter; 41% round-number amounts -> 74% round-number amounts; 1% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA),2024Q3,2.870127286575997,0.3604169620044595,0.4863715845316171,7,352,238,48921665.84,64066901.0,RAMPUR(DISTRICT MAGISTRATE RAMPUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.36); 176 works/quarter -> 48 works/quarter; 0% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
LATUR(DISTRICT COLLECTOR LATUR_IDA),2024Q3,3.190926072109294,0.2884725054894147,0.4849866529827688,9,123,99,81358739.0,79822787.0,LATUR(DISTRICT COLLECTOR LATUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.29); 1% round-number amounts -> 72% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA),2024Q4,3.460019214610728,0.2576279193440436,0.4840920421052094,6,77,100,62887452.0,95043440.0,KATIHAR(DISTRICT PLANNING OFFICER KATIHAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.26); 38 works/quarter -> 25 works/quarter; 1% round-number amounts -> 0% round-number amounts; 0% repeated descriptions -> 64% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GONDIA(DISTRICT COLLECTOR GONDIA_IDA),2025Q1,3.0890059511989585,0.2999455031830488,0.4835926037909663,10,139,117,67001894.0,67851875.0,GONDIA(DISTRICT COLLECTOR GONDIA_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.30); 28 works/quarter -> 23 works/quarter; 25% round-number amounts -> 79% round-number amounts; 5% repeated descriptions -> 17% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ALWAR(DISTRICT COLLECTOR ALWAR_IDA),2024Q4,3.886494528196768,0.24113900784320347,0.48195680934231916,10,228,81,120276268.14000002,81780489.0,ALWAR(DISTRICT COLLECTOR ALWAR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.24); 57 works/quarter -> 14 works/quarter; 11% round-number amounts -> 66% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA),2024Q4,3.4755609964726832,0.25310711435134337,0.4790170250292333,6,94,77,49130000.0,51936000.0,CHIKKABALLAPURA(DEPUTY COMMISSIONER CHICKKABALLAPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.25); 47 works/quarter -> 19 works/quarter; 50% round-number amounts -> 92% round-number amounts; 28% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA),2025Q1,2.569180587173818,0.5447406371314161,0.47875171510856,7,94,34,65177338.0,37234403.0,GWALIOR(DISTRICT COLLECTOR GWALIOR_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.54); 31 works/quarter -> 8 works/quarter; 54% round-number amounts -> 45% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),2025Q3,2.5669009697151997,0.5318007794419474,0.473603697591614,10,285,39,114912327.0,17475000.0,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.53); 41 works/quarter -> 13 works/quarter; 54% round-number amounts -> 78% round-number amounts; 30% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KANDHAMAL(DISTRICT COLLECTOR KANDHAMAL_IDA),2025Q4,2.9944046321933495,0.31291464453594453,0.472455591261534,6,142,78,52876892.0,22420000.0,KANDHAMAL(DISTRICT COLLECTOR KANDHAMAL_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.31); 98% round-number amounts -> 79% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SAKTI(COLLECTOR SAKTI_IDA),2025Q3,2.8695438191793263,0.350966105381909,0.4700873778960065,6,148,137,66191940.0,15902277.0,SAKTI(COLLECTOR SAKTI_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.35); 37 works/quarter -> 68 works/quarter; median Rs.10^5.61 -> median Rs.10^4.59; 68% round-number amounts -> 38% round-number amounts; 0% repeated descriptions -> 7% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA),2025Q3,2.4851212683975037,0.8028423131511142,0.46747274966961816,8,280,186,104489114.0,116233745.0,FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.80); 11% round-number amounts -> 46% round-number amounts; 16% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),2025Q2,2.5709320907354556,0.4947704568059944,0.46700354929167337,6,83,15,37964367.0,12500000.0,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA): behaviour shifts at 2025Q2 (archetype-mix JS 0.49); 21 works/quarter -> 8 works/quarter; 0% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),2025Q1,2.5367532600508156,0.5782041695910209,0.46678478351366376,7,255,171,67915827.0,61886494.0,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.58); 85 works/quarter -> 43 works/quarter; 0% round-number amounts -> 15% round-number amounts; 6% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),2025Q3,4.030833877964939,0.2297747144069884,0.46340489937559587,10,1410,129,535487780.0,68511388.0,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.23); 201 works/quarter -> 43 works/quarter; 22% round-number amounts -> 57% round-number amounts; 0% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),2025Q3,2.960625859119737,0.30884780058399186,0.4592793267718459,7,376,88,165277882.0,28116813.0,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.31); 75 works/quarter -> 44 works/quarter; 80% round-number amounts -> 58% round-number amounts; 2% repeated descriptions -> 4% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
ETAH(DISTRICT MAGISTRATE ETAH_IDA),2025Q3,2.4853149009651805,0.6714827219570172,0.458703999389718,7,267,98,111323758.0,74049451.0,ETAH(DISTRICT MAGISTRATE ETAH_IDA): behaviour shifts at 2025Q3 (archetype-mix JS 0.67); 67 works/quarter -> 33 works/quarter; 5% round-number amounts -> 10% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA),2024Q4,4.787239426538129,0.21847862712084995,0.4575511743710941,12,250,148,192646615.62,131960290.0,KOLHAPUR(DISTRICT COLLECTOR KOLHAPUR_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.22); 42 works/quarter -> 25 works/quarter; 33% round-number amounts -> 83% round-number amounts; 0% repeated descriptions -> 24% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),2025Q4,2.5310672028437637,0.5495711681454134,0.456013182878723,7,509,48,161124439.0,14893943.0,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA): behaviour shifts at 2025Q4 (archetype-mix JS 0.55); 102 works/quarter -> 24 works/quarter; 65% round-number amounts -> 38% round-number amounts; 4% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA),2024Q4,2.478153497469445,0.681260523827689,0.45533525857776663,6,166,38,75698726.0,28508500.0,MAHOBA(DISTRICT MAGISTRAE MAHOBA_IDA): behaviour shifts at 2024Q4 (archetype-mix JS 0.68); 55 works/quarter -> 13 works/quarter; 27% repeated descriptions -> 5% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA),2024Q1,2.6118156786796165,0.42369040752182974,0.45219490221787856,7,113,148,106049731.0,140910138.0,SIWAN(DISTRICT PLANNING OFFICER SIWAN_IDA): behaviour shifts at 2024Q1 (archetype-mix JS 0.42); 56 works/quarter -> 30 works/quarter; 0% round-number amounts -> 9% round-number amounts; 0% repeated descriptions -> 44% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),2024Q3,3.142658368445265,0.2744817792141644,0.4481940536839518,10,173,328,79966810.0,187789460.0,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.27); 58 works/quarter -> 47 works/quarter; 5% round-number amounts -> 53% round-number amounts; 6% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA),2025Q1,2.6420412368350337,0.38890021100423366,0.44785486442801614,7,115,107,96225494.0,87109630.0,KRISHNAGIRI(DISTRICT COLLECTOR KRISHNAGIRI_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.39); 58 works/quarter -> 21 works/quarter; 35% round-number amounts -> 65% round-number amounts. Before/after shown for review — a change-point is not evidence of wrongdoing.
SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA),2024Q3,2.5784268740745175,0.4322126067415819,0.4474987173622024,9,120,226,22931000.0,59123479.21,SIRMAUR(DEPUTY COMMISSIONER SIRMOUR_IDA): behaviour shifts at 2024Q3 (archetype-mix JS 0.43); 60 works/quarter -> 32 works/quarter; 0% repeated descriptions -> 1% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
THANE(DISTRICT COLLECTOR THANE_IDA),2025Q1,3.268953542819097,0.25531225707457195,0.44735395162635405,6,131,108,236646112.0,100794506.0,THANE(DISTRICT COLLECTOR THANE_IDA): behaviour shifts at 2025Q1 (archetype-mix JS 0.26); 66 works/quarter -> 27 works/quarter; 57% round-number amounts -> 96% round-number amounts; 3% repeated descriptions -> 0% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
SOUTH(COMMISSIONER SOUTH),2024Q4,3.0449302466045474,0.28936830433401095,0.4470977128055101,8,16,180,46429502.0,193343005.0,SOUTH(COMMISSIONER SOUTH): behaviour shifts at 2024Q4 (archetype-mix JS 0.29); 8 works/quarter -> 30 works/quarter; 5% round-number amounts -> 12% round-number amounts; 0% repeated descriptions -> 20% repeated descriptions. Before/after shown for review — a change-point is not evidence of wrongdoing.
